日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成份券代码Constituent Code,成份券名称Constituent Name,成份券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng)
20260605,000852,中证1000,CSI 1000,001227,兰州银行,"BANK OF LANZHOU CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,001236,弘业期货,"Soho Holly Futures Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,001287,中电港,"Shenzhen CECport Technologies Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,001301,尚太科技,"Shijiazhuang Shangtai Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,001308,康冠科技,"Shenzhen KTC Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,001309,德明利,"Shenzhen Techwinsemi Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,001337,四川黄金,"Sichuan Gold Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,001339,智微智能,"JWIPC TECHNOLOGY CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,001356,富岭股份,"Fuling Technology CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,001382,新亚电缆,"Guangdong Xinyaguang Cable Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,001914,招商积余,"China Merchants Property Operation & Service Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002003,伟星股份,Zhejiang Weixing Industrial Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002004,华邦健康,"HUAPONT LIFE SCIENCES CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002006,精工科技,"Zhejiang Jinggong Integration Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002010,传化智联,"Transfar Zhilian Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002011,盾安环境,Zhejiang Dun'an Artificial Environment Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002015,协鑫能科,"GCL Energy Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002017,东信和平,"Eastcompeace Techonlogy Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002019,亿帆医药,"YIFAN PHARMACEUTICAL CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002020,京新药业,Zhejiang Jingxin Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002023,海特高新,Sichuan Haite High-tech Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002036,联创电子,"LianChuang Electronic Technology Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002038,双鹭药业,Beijing SL Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002041,登海种业,Shandong Denghai Seeds Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002043,兔宝宝,Dehua TB New Decoration Material Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002045,国光电器,Guoguang Electric Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002046,国机精工,"SINOMACH PRECISION INDUSTRY Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002048,宁波华翔,Ningbo Huaxiang Electronic Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002051,中工国际,China CAMC Engineering Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002053,云南能投,"Yunnan Energy Investment CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002060,广东建工,"Guangdong Construction Engineering Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002061,浙江交科,"Zhejiang Communications Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002063,远光软件,YGSOFT Inc.,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002068,黑猫股份,Jiangxi Black Cat Carbon Black Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002073,软控股份,Mesnac Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002075,沙钢股份,Jiangsu Shagang Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002077,大港股份,Jiangsu Dagang Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002079,苏州固锝,Suzhou Good-Ark Electronics Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002081,金螳螂,Suzhou Gold Mantis Construction Decoration Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002091,江苏国泰,"Jiangsu Guotai International Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002093,国脉科技,"Guomai Technologies,Inc.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002096,易普力,"EXPLOSIVE CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002097,山河智能,Sunward  Intelligent Equipment Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002099,海翔药业,Zhejiang Hisoar Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002100,天康生物,"Xinjiang Tecon Animal Husbandry Bio-Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002101,广东鸿图,Guangdong Hongtu Technology (Holdings) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002104,恒宝股份,Hengbao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002110,三钢闽光,"Sansteel Minguang Co.,Ltd.Fujian",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002121,科陆电子,Shenzhen Clou Electronics Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002123,梦网科技,"MONTNETS CLOUD TECHNOLOGY GROUP CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002125,湘潭电化,Xiangtan Electrochemical Scientific Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002127,南极电商,"NanJi E-Commerce Co., LTD",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002139,拓邦股份,Shenzhen Topband Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002145,钛能化学,"Tinergy Chemical Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002149,西部材料,Western Metal Materials Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002151,北斗星通,Beijing Bdstar Navigation Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002158,汉钟精机,Shanghai Hanbell Precise Machinery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002163,海南发展,"Hainan Development Holdings Nanhai Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002170,芭田股份,Shenzhen Batian Ecotypic Engineering Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002171,楚江新材,"Anhui Truchum Advanced Materials and Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002174,游族网络,"YOUZU Interactive CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002176,江特电机,Jiangxi Special Electric Motor Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002182,宝武镁业,"BAOWU MAGNESIUM TECHNOLOGY CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002183,怡亚通,Eternal Asia Supply Chain Management Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002192,融捷股份,"YOUNGY Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002194,武汉凡谷,"Wuhan Fingu Electronic Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002204,大连重工,Dalian Huarui Heavy Industry Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002212,天融信,Topsec Technologies Group Inc.,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002215,诺普信,Shenzhen Noposion Agrochemicals Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002216,三全食品,"Sanquan Food Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002219,新里程,"New Journey Health Technology Group Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002221,东华能源,Oriental Energy Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002222,福晶科技,Castech Inc.,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002226,江南化工,Anhui Jiangnan Chemical Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002233,塔牌集团,Guangdong Tapai Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002237,恒邦股份,Shandong Humon Smelting Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002239,奥特佳,"Aotecar New Energy Technology Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002242,九阳股份,Joyoung Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002243,力合科创,"SHENZHEN LEAGUER CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002245,蔚蓝锂芯,Jiangsu Azure Corporation,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002249,大洋电机,Zhongshan Broad-ocean Motor Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002251,步步高,Better Life Commercial Chain Share Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002254,泰和新材,"TAYHO ADVANCED MATERIALS GROUP CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002258,利尔化学,Lier Chemical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002267,陕天然气,Shaan Xi Provincial Natural Gas Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002268,电科网安,"CETC Cyberspace Security Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002270,华明装备,"HUAMING POWER EQUIPMENT CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002275,桂林三金,Guilin Sanjin Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002276,万马股份,"Zhejiang Wanma Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002287,奇正藏药,Tibet Cheezheng Tibetan Medicine Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002292,奥飞娱乐,Alpha Group,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002302,西部建设,"China West Construction Group Co., ltd",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002315,焦点科技,Focus Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002317,众生药业,Guangdong Zhongsheng Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002320,海峡股份,Hainan Strait Shipping Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002324,普利特,Shanghai Pret Composites Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002326,永太科技,Zhejiang Yongtai Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002332,仙琚制药,Zhejiang Xianju Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,002338,奥普光电,Changchun Up Optotech Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
